pref,amInd,asian,black,hispanic,white,occurences
ele,0,0.0088,0.9205,0.0247,0.0212,566
poa,0,0,0.055,0.0145,0.9144,1308
fre,0.006388424,0.005379726,0.034165875,0.010692205,0.927746236,2989
due,0.007966677,0.003361824,0.059258968,0.017497174,0.901094595,3256
ker,0.0095,0.0037,0.0351,0.0121,0.926,15113
pf,0.0059,0.0038,0.0025,0.011,0.9686,6282
fru,0,0,0,0.0131,0.9624,612
dup,0.012,0.0038,0.0054,0.0137,0.9538,8087
spa,0,0,0,0.0193,0.9706,1089
mcn,0.002344951,0.004010886,0.019235716,0.014416602,0.94738977,31370
mcm,0.0184,0,0,0.0184,0.9234,1306
gli,0.0053,0.0032,0.0406,0.0092,0.9281,4115
gau,0,0.0117,0,0.035,0.9333,600
gar,0,0,0.0146,0.0341,0.9244,410
mca,0.0091,0.0033,0.002,0.0134,0.9583,3959
gam,0,0,0.024709934,0.011939338,0.950978543,2265
gal,0.002482279,0.004567393,0.005758886,0.015985874,0.960829772,68561
gaj,0,0.0039,0,0.012,0.9741,2591
cum,0.0024,0.0034,0.0519,0.0157,0.9217,2044
fut,0,0,0,0.012,0.972,749
geh,0.0112,0,0,0.0093,0.972,535
gna,0,0,0,0,0.9801,403
ful,0,0,0,0.0146,0.9817,547
vol,0,0,0.0148,0.0169,0.943,474
ir,0,0.0116,0,0.9555,0.0251,517
vo,0,0.003151698,0.004412075,0.018260755,0.95473283,1590
rin,0,0,0,0.0195,0.9651,717
ave,0,0.0041,0,0.0518,0.9285,1217
rid,0,0,0.0077,0,0.9755,777
id,0,0,0.0208,0.0185,0.9514,432
pat,0.013,0.0077,0.0143,0.0183,0.933,3777
pau,0.0048,0.0042,0.0316,0.0138,0.9357,10610
pav,0.0042,0,0,0.0125,0.9741,1199
pad,0.0049,0.0049,0.0063,0.009,0.9666,1438
mor,0.0043,0,0,0.9252,0.0642,3008
nie,0,0,0,0.017675825,0.968756722,1696
kie,0.00794023,0.005330504,0,0.027413439,0.944302122,1131
kna,0,0.005,0,0.0072,0.9755,1390
zys,0,0,0,0,0.9764,509
ces,0,0,0,0.0203,0.9687,543
wym,0.0057,0.0052,0.0272,0.0164,0.9335,11063
knu,0,0.0068,0,0.0062,0.9746,1617
gun,0,0.0211,0,0,0.96,475
bou,0.0072,0.0084,0.0203,0.0167,0.9272,838
nar,0,0.009495605,0,0.01857952,0.94290367,2207
cut,0.0027,0.0069,0.0523,0.013,0.913,2621
hal,0.004271904,0.005810272,0.001409335,0.014551158,0.956298845,18789
han,0,0,0,0,0.980635552,1187
vie,0,0.004318343,0,0.01422284,0.966870888,2535
wen,0.003112717,0.006704313,0.002633837,0.012481681,0.963099422,2249
eld,0.005,0.0037,0.0593,0.0081,0.9076,1601
hag,0.0042,0.0036,0.0649,0.0138,0.9012,10961
add,0.016,0.0036,0.0085,0.0199,0.9323,4933
wet,0,0,0.013043482,0.012294632,0.953995015,1304
hau,0,0,0.008064977,0.011525,0.950439862,868
bin,0.0021,0.0052,0.0461,0.0151,0.9226,9674
moy,0.0036,0.0044,0.0028,0.0155,0.9615,2519
ama,0.002,0.0037,0.0037,0.9344,0.0518,22149
mon,0,0,0,0.9339,0.0614,635
mol,0,0.0125,0,0.0358,0.9213,559
moa,0.0082,0,0.0506,0.0163,0.9184,1225
ole,0,0,0,0,0.9902,509
oli,0,0,0,0.0175,0.9561,456
tyn,0.0298,0.0033,0.0397,0.0083,0.9052,4590
eck,0,0,0,0.0541,0.9276,980
olu,0,0,0,0,0.9799,399
auf,0,0,0,0.019,0.9621,633
fow,0,0,0.0079,0.0159,0.9666,629
ess,0,0.0086,0.0362,0,0.9483,580
hep,0.0024,0.0064,0.0034,0.0152,0.9633,2044
esh,0,0,0,0,0.9678,404
rum,0,0,0,0.0134,0.977,522
ruf,0,0,0,0,0.9777,403
bi,0.001823481,0.004515286,0.0658823,0.01517713,0.903356727,11141
rud,0,0.003725819,0.001326619,0.013563469,0.965883933,3753
rue,0,0.0167,0,0,0.9594,419
ruz,0,0.0045,0,0.0126,0.9708,2466
by,0,0.005,0,0.0207,0.9593,1402
che,0.0146,0,0,0.011,0.9433,547
oh,0,0,0,0.017,0.9697,528
og,0,0.002968547,0.052826651,0.018620888,0.914764466,1666
obe,0,0,0,0.9271,0.0619,727
zuc,0,0,0.0063,0.0149,0.962,3818
idl,0,0,0.0208,0.0185,0.9514,432
oz,0.009,0,0,0.009,0.9557,1446
ayd,0,0,0,0,0.9875,401
ov,0,0,0,0.0136,0.9729,737
ou,0,0,0,0.0161,0.9664,684
doo,0,0,0,0.0181,0.9511,552
kre,0.007423289,0.003845483,0.000725945,0.015181801,0.961547278,9863
sol,0,0,0,0.978,0.022,592
soo,0.0226,0,0,0.009,0.9564,665
sor,0,0,0,0.0072,0.9771,699
sou,0.0037,0.0046,0.003,0.0079,0.9695,4326
sov,0.0045,0.0072,0.0032,0.0288,0.941,2220
klo,0,0,0,0,0.9882,594
het,0.0037,0.0052,0.0369,0.0148,0.9271,3250
her,0.002848316,0.004426623,0.004605382,0.020816208,0.957055567,9736
wag,0,0,0,0.0232,0.96,475
loh,0,0,0,0,0.9716,457
lon,0.0012294,0.003706906,0.014266186,0.031682622,0.935982815,12959
nox,0,0,0,0.0168,0.9476,477
gif,0.0141,0.0113,0.0113,0.016,0.935,1061
gie,0,0,0,0.008254639,0.975275258,970
heg,0,0,0,0.014,0.9744,429
lov,0,0,0,0.0366,0.9407,792
hel,0,0.004705362,0,0.01507413,0.973695108,1063
gin,0,0,0,0,0.988,416
hei,0.0084,0,0,0.0201,0.9614,596
juh,0,0,0,0.0163,0.9756,614
jun,0.002637593,0.005209246,0.002637593,0.010444963,0.965535717,2293
jur,0,0,0.0028,0.0142,0.9678,2111
bun,0,0,0.0111,0.0148,0.9667,541
dur,0.003810258,0.020041769,0.017927822,0.015525428,0.924293478,17587
bud,0,0.009,0,0.0254,0.9537,670
he,0.002701033,0.00524507,0.02934294,0.019120949,0.93165406,20235
tum,0,0,0.0377,0.0146,0.9234,822
dol,0.0032,0.006,0.0033,0.0146,0.9632,27252
