pattern,black,white,amInd,asian,hispanic
de/ny,0.0632643632725,0.858170107581,0.0375297923443,0.00566210157618,0.0178042281711
de/o,0.0081316236483,0.505313475154,0.002599378862,0.0307785414521,0.438443879699
de/off,0.0044720661157,0.962703541913,0.00118158205431,0.00590961038961,0.00920476977568
de/ok,0.0,0.9781,0.0,0.0,0.0078
de/on,0.0708273561914,0.525676368589,0.00787634864341,0.0363139168157,0.345630786155
de/onis,0.0,0.9673,0.0,0.0,0.0236
de/ot,0.0072,0.9509,0.0016,0.0088,0.0156
de/ou,0.0531538385827,0.877936023622,0.0,0.00489419291339,0.0176970472441
de/ow,0.0869466115702,0.876700231405,0.0,0.0039760661157,0.0165127933884
de/ridge,0.2838,0.6939,0.0,0.0,0.014
de/ros,0.120025,0.580959943182,0.0,0.0,0.0660659090909
de/sen,0.0,0.974794189602,0.0,0.0,0.00611850152905
de/ski,0.0,0.965024961995,0.0,0.0051745819398,0.0158240194588
de/son,0.179465715222,0.765007572052,0.0176815325651,0.0041524647621,0.0145030484884
de/tos,0.00283052394813,0.0782475787245,0.00146091558613,0.142633381847,0.75590686028
de/us,0.0573918095876,0.119577581639,0.0024850218913,0.0692908725843,0.738031584818
de/ville,0.131082696133,0.814603403315,0.00725215469613,0.00353542541436,0.0253838895028
de/wan,0.0175,0.5689,0.0046,0.33,0.011
de/well,0.0133,0.9617,0.0,0.0,0.0133
de/za,0.0516683332097,0.196950715822,0.00189640976189,0.0443209183295,0.65348494177
della/ia,0.0,0.9631,0.0,0.0,0.0257
della/la,0.0333824407375,0.815600790167,0.00701720807726,0.0737415276558,0.0465521510097
della/o,0.0,0.9469,0.0,0.0,0.0169
der/an,0.00854328358209,0.943130063966,0.0,0.00427164179104,0.0163675906183
der/by,0.0543,0.8948,0.0096,0.0065,0.0212
der/er,0.020702416212,0.883006131463,0.00243235472417,0.0575024768338,0.0144573742098
der/ia,0.0,0.9503,0.0048,0.0,0.0191
der/ier,0.0898,0.8569,0.0054,0.0027,0.0238
der/in,0.00582002902758,0.933968722787,0.00363751814224,0.0130455732946,0.0152434687954
der/ing,0.0183,0.9375,0.0,0.0107,0.0213
der/is,0.0,0.9419,0.0,0.0,0.0468
der/man,0.0252,0.935,0.0,0.0126,0.0126
der/o,0.0874954876274,0.84278860262,0.0,0.00975227074236,0.0275037263464
der/on,0.0936017959496,0.867030110814,0.0,0.0,0.013368781047
der/ow,0.0723,0.9138,0.0,0.0,0.0
der/sen,0.0,0.9775,0.0,0.0,0.0106
der/son,0.102033333333,0.860292703863,0.0,0.0,0.0138321888412
der/us,0.5331,0.4319,0.0064,0.0071,0.0064
di/ach,0.0,0.963499270517,0.0,0.00607647416413,0.0170172644377
di/an,0.0106752040198,0.955823031966,0.00430422650654,0.00414194433555,0.0132899682834
di/ano,0.0,0.900466772885,0.0,0.0592635863268,0.0237710457706
di/ard,0.386128205128,0.564916673208,0.00541761512297,0.00236405023548,0.0204884353741
di/beck,0.0,0.95982972973,0.0076972972973,0.0,0.0173552123552
di/bert,0.011,0.9685,0.0,0.0,0.0
di/burg,0.0,0.9537,0.0,0.0176,0.011
di/by,0.1318,0.8249,0.0099,0.005,0.012
di/dale,0.0,0.9624,0.0,0.0,0.0297
di/din,0.0,0.1061,0.0,0.6692,0.068
di/dorf,0.0,0.9755,0.0,0.0,0.0172
di/ens,0.307080318495,0.65212437343,0.00777256452733,0.00320618286753,0.0132133596965
di/er,0.0120068055335,0.951902234059,0.00595735411035,0.00243839508136,0.0134936873907
di/ero,0.0,0.9798,0.0,0.0,0.0
di/ers,0.121543151227,0.845216468725,0.0,0.0,0.0201960411718
di/eu,0.0668,0.2586,0.0,0.6455,0.0
di/ez,0.0,0.0913,0.0,0.0,0.8948
di/i,0.00271027429103,0.954140748489,0.00154592437626,0.00333374399504,0.0205351464435
di/ia,0.0555853648069,0.855602339056,0.00644077253219,0.0206104935622,0.0343363733906
di/ich,0.00373098455209,0.964982357924,0.00249123139596,0.00465638688339,0.0142537450087
di/ier,0.031586324193,0.920829642485,0.00448448455397,0.00836803193336,0.0215379035057
di/in,0.00261098198722,0.664994363742,0.0,0.239390528762,0.0293324811156
di/ing,0.0144937037037,0.959224907407,0.00247012345679,0.00277561728395,0.00773790123457
di/is,0.0122462882096,0.946719388646,0.0,0.0,0.0200989519651
di/ius,0.0,0.9573,0.0,0.0093,0.0186
di/kin,0.0,0.9682,0.0,0.0045,0.0172
di/la,0.00183983140148,0.787020231823,0.0,0.00170679662803,0.195575289779
di/li,0.0,0.950839103068,0.00235857592447,0.00395440597954,0.0244116443745
di/lin,0.0209,0.9628,0.0,0.0,0.0
di/man,0.0112387237214,0.955224780358,0.00454172811421,0.00310585582052,0.0143923674302
di/mann,0.00164524201515,0.969384392493,0.0,0.00393335528482,0.0118270332565
di/nes,0.0685505050505,0.886755555556,0.00265071770335,0.00795215311005,0.0223592238171
di/novo,0.0,0.9738,0.0,0.0,0.0
di/o,0.00315429230737,0.916942439682,0.000778330639982,0.0133781902094,0.0518338635353
di/off,0.0,0.9866,0.0,0.0,0.0
di/on,0.256432784115,0.68179000597,0.00870453315016,0.0153814651225,0.0200639736143
di/ou,0.0,0.9608,0.0,0.0,0.0
di/ov,0.0,0.9581,0.0,0.0,0.0
di/ovo,0.0,0.9738,0.0,0.0,0.0
di/ow,0.0100830180921,0.958073314145,0.00350485197368,0.00290485197368,0.0115376027961
di/sen,0.0,0.9592,0.0,0.0096,0.0166
di/son,0.201439152479,0.752890329321,0.00756410671764,0.00457745290201,0.0165782490726
di/stad,0.0,0.9572,0.0,0.0,0.0285
di/stein,0.0,0.9659,0.0,0.017,0.0
di/us,0.0266213398058,0.933194135922,0.0,0.000973339805825,0.0153733398058
di/worth,0.389699280144,0.574491721656,0.00320815836833,0.00284151169766,0.0145665266947
di/za,0.0,0.956098689384,0.0046126474443,0.0,0.0150812581913
dos/ell,0.5019,0.4442,0.0,0.0,0.0
dos/er,0.100627902971,0.86332055404,0.00327693411798,0.00356176259509,0.0132057413521
dos/i,0.0038,0.0357,0.0038,0.903,0.007
dos/ier,0.0465609157809,0.890430171709,0.00819623875715,0.00491774325429,0.0212541291905
dos/shi,0.0038,0.0357,0.0038,0.903,0.007
dos/tos,0.064,0.6018,0.0025,0.009,0.1211
dos/well,0.5019,0.4442,0.0,0.0,0.0
du/ac,0.0,0.9188,0.0,0.0343,0.0252
du/ach,0.0,0.9799,0.0,0.0,0.0157
du/aj,0.0,0.985,0.0,0.0,0.0
du/ak,0.0,0.965061261261,0.0,0.0,0.0180144144144
du/an,0.0963343383571,0.631673107255,0.00844593321867,0.00905457882633,0.241233384002
du/and,0.0680028945869,0.793485299145,0.00628981196581,0.0113027236467,0.102866883191
du/au,0.0,0.961405363409,0.00251969924812,0.00301563909774,0.0125402506266
du/ba,0.0125,0.9624,0.0,0.0,0.0157
du/bois,0.0584,0.8814,0.0146,0.0057,0.0238
du/by,0.0059,0.9386,0.0046,0.0052,0.0242
du/dale,0.0,0.9677,0.0,0.0,0.0142
du/don,0.004,0.9645,0.0048,0.0097,0.0089
du/dun,0.0819,0.4391,0.0,0.4244,0.0147
du/ek,0.000594010386613,0.970786220427,0.00206555106751,0.00435739180612,0.0117496826313
du/ell,0.0974154104478,0.872022350746,0.0,0.0,0.0139831902985
du/er,0.0485597441635,0.912333492535,0.00516150763168,0.00337112654888,0.0160329781904
